tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,83,200075,,WC,Jing Qian Yi,R,168,CHN,25.8,200073,,Q,Julie Pullin,L,173,GBR,24.1,6-3 2-6 9-7,3,R64,,,,,,,,,,,,,,,,,,,,137,194,174,135
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,84,200077,,,Jennifer Capriati,R,170,USA,23.8,200080,14,,Dominique Monami,R,170,BEL,26.6,6-1 4-6 8-6,3,R64,,,,,,,,,,,,,,,,,,,,21,1183,16,1509
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,85,200084,,,Asa Carlsson,R,178,SWE,24.5,200082,,,Kristie Boogert,R,178,NED,26.0,7-5 6-3,3,R64,,,,,,,,,,,,,,,,,,,,59,524,100,297
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,86,200085,,,Ai Sugiyama,R,163,JPN,24.5,200088,,,Adriana Gersi,R,166,CZE,23.5,6-1 6-4,3,R64,,,,,,,,,,,,,,,,,,,,24,1026,78,390
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,87,200089,,,Miriam Oremans,R,169,NED,27.3,200092,,,Sandra Nacuk,R,,SCG,19.4,6-3 7-5,3,R64,,,,,,,,,,,,,,,,,,,,99,303,103,289
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,88,200096,4,,Mary Pierce,R,178,FRA,25.0,200093,,,Amelie Cocheteux,L,,FRA,21.8,6-2 6-2,3,R64,,,,,,,,,,,,,,,,,,,,5,2599,62,512
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,89,200099,,Q,Sonya Jeyaseelan,R,157,CAN,23.7,200097,5,,Nathalie Tauziat,R,165,FRA,32.2,7-6(3) 6-4,3,R64,,,,,,,,,,,,,,,,,,,,145,182,8,2213
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,90,200101,,Q,Jana Kandarr,R,181,GER,23.3,200104,,,Emilie Loit,L,167,FRA,20.6,1-6 7-5 6-3,3,R64,,,,,,,,,,,,,,,,,,,,141,191,97,306
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,91,200108,,,Elena Dementieva,R,180,RUS,18.2,200106,,,Angeles Montolio,R,157,ESP,24.4,6-4 6-3,3,R64,,,,,,,,,,,,,,,,,,,,64,508,61,515
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,92,200112,9,,Julie Halard Decugis,R,173,FRA,29.3,200110,,,Fabiola Zuluaga,R,172,COL,21.0,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,,11,1792,51,619
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,93,200113,11,,Anna Kournikova,R,173,RUS,18.6,200116,,,Natalia Zvereva,R,174,BLR,28.7,6-1 6-4,3,R64,,,,,,,,,,,,,,,,,,,,12,1766,26,972
